,index,Unnamed: 0,Headline,Subheader,Section,Date,URL,Category
1007,729,49,Film by Beijing Students Explores Being Young and Transgender in China,"The high school students made “Escape,’’ a film about a transgender teenager’s journey to self-acceptance, to raise awareness about the struggles of transgender people.",Asia Pacific,2017-08-18,/2017/08/18/world/asia/china-transgender-film-school.html?searchResultPosition=67,World News
1008,728,48,"Transgender Pakistanis Win Legal Victories, but Violence Goes On","Parliament is set to pass the nation’s first law penalizing discrimination and violence against transgender people, a surprising victory in a deeply conservative nation.",Asia Pacific,2017-08-19,/2017/08/19/world/asia/pakistan-transgender-bill.html?searchResultPosition=65,World News
1009,725,45,"Military Transgender Ban to Begin Within 6 Months, Memo Says","President Trump is preparing to give the Defense Department formal authority to dismiss transgender troops, a person familiar with the directive said.",Politics,2017-08-23,/2017/08/23/us/politics/trump-military-transgender-ban.html?searchResultPosition=62,Politics
1010,727,47,Man Drives Car Through Activists Protesting Transgender Woman’s Death,"Three people were hurt, and the driver was arrested. The activists had attended a vigil for a transgender woman who was fatally shot by the police.",U.S.,2017-08-24,/2017/08/24/us/stlouis-protest-transgender-death.html?searchResultPosition=64,US New
1011,724,44,Trump Gives Mattis Wide Discretion Over Transgender Ban,A White House official would not discuss the possibility that the defense secretary could decline to remove transgender individuals.,Politics,2017-08-25,/2017/08/25/us/politics/trump-mattis-transgender-ban.html?searchResultPosition=60,Politics
1012,867,187,Canada Introduces ‘X’ as a Third Sex Category for Passport Holders,"The new designation, which begins Aug. 31, is a way to allow Canadians to identify by the gender of their choice, officials said.",Canada,2017-08-25,/2017/08/25/world/americas/canada-passport-x.html?searchResultPosition=259,World News
1013,726,46,"To Play Transgender, Sandra Caldwell Had to Open Up About Who She Is","For the first time in her career, Ms. Caldwell will perform as an openly transgender woman, in a part that tracks closely with her own life.",Theater,2017-08-28,/2017/08/28/theater/to-play-transgender-sandra-caldwell-had-to-open-up-about-who-she-is.html?searchResultPosition=63,Arts
1014,722,42,Mattis Says Panel Will Study Trump’s Transgender Military Ban,"On Tuesday, Defense Secretary Jim Mattis said that he was establishing a panel of experts to “provide advice and recommendations on the implementation of the president’s direction.”",Politics,2017-08-29,/2017/08/29/us/politics/mattis-trump-transgender-ban.html?searchResultPosition=57,Politics
1015,721,41,When Transgender Trumps Treachery,The glitterati are feting Chelsea Manning with little regard for the fact that she jeopardized American security and innocent lives around the globe.,Opinion,2017-08-29,/2017/08/29/opinion/transgender-trump-chelsea-manning.html?searchResultPosition=56,Life
1016,866,186,5 Shows to See if You’re in New York in September,"Group weddings, Korean pop, a superannuated Peter Pan and a transgender Emily Post are among the promising theatrical experiences of September.",Theater,2017-08-31,/2017/08/31/theater/5-shows-to-see-if-youre-in-new-york-in-september.html?searchResultPosition=258,Arts
1017,895,215,EJ Johnson Is ‘Not Just Some Other Rich Girl’,"Magic Johnson’s son was outed as gay by TMZ, then became a reality show star. All of 25, he is now embracing his role as a gender-flouting role model.",Style,2017-09-02,/2017/09/02/style/ej-johnson-rich-kids-of-beverly-hills.html?searchResultPosition=585,Arts
1018,720,40,L’Oréal Drops Transgender Model Over Comments on Race,Munroe Bergdorf posted on social media about “the racial violence of white people” and was dropped from a makeup advertising campaign.,Business,2017-09-02,/2017/09/02/business/munroe-bergdorf-loreal-transgender.html?searchResultPosition=55,Business
1019,865,185,Trump’s Choice for Top Civil Rights Job Defends Private-Sector Work,"Eric S. Dreiband, the nominee to run the Justice Department’s civil rights division, defended Abercrombie & Fitch over its firing of a Muslim woman and fought the agency over transgender bathroom access.",Politics,2017-09-06,/2017/09/06/us/politics/eric-dreiband-justice-department-civil-rights-nomination.html?searchResultPosition=257,Politics
1020,723,43,"Last Night, Calvin Klein — This Morning, Algebra","For Ariel Nicholson Murtagh, an appearance in a PBS documentary on trans kids led to a Vogue spread and a modeling agent. Now, she’s walking runways.",Fashion,2017-09-08,/2017/09/08/fashion/calvin-klein-ariel-nicholson-murtagh-new-york-fashion-week.html?searchResultPosition=59,Arts
1021,904,224,Reader Idea | Creating an Inclusive Classroom by Offering Pronoun Choice,A high school teacher from Massachusetts describes how her school supports students who identify outside the gender binary.,Lesson Plans,2017-09-13,/2017/09/13/learning/lesson-plans/reader-idea-creating-an-inclusive-classroom-by-offering-pronoun-choice.html?searchResultPosition=844,Misc
1022,719,39,Gender-Fluid Artists Come Out of the Gray Zone,“Trigger” at the New Museum brings a new level of visibility to artists who have only been acknowledged before in a trickle of mainstream shows.,Art & Design,2017-09-15,/2017/09/15/arts/design/gender-fluid-artists-new-museum-transgender.html?searchResultPosition=54,Arts
1023,718,38,Georgia Tech Student Leader Is Shot Dead by Campus Police,"Scout Schultz, 21, the president of the gay and transgender student group, left behind suicide notes, was carrying a knife and yelled “shoot me” at the officers. One did.",U.S.,2017-09-18,/2017/09/18/us/georgia-tech-killing-student.html?searchResultPosition=53,US New
1024,855,175,"Review: In ‘Charm,’ Challenges Emily Post Never Dreamed Of",A transgender etiquette expert faces pupils who have bigger issues than what fork to use in Philip Dawkins’s new play.,Theater,2017-09-18,/2017/09/18/theater/review-charm-play-philip-dawkins.html?searchResultPosition=238,Arts
1025,717,37,"When It Comes to Gender, Let Confusion Reign",The New Museum shouldn’t mind some puzzled faces at the show “Trigger: Gender as a Tool and a Weapon.” Thinking hard is the point.,Art & Design,2017-09-28,/2017/09/28/arts/design/arts-gender-new-museum-transgender.html?searchResultPosition=51,Arts
1026,815,135,Azerbaijan Detains Dozens of Gay and Transgender People,"Homosexuality was decriminalized in Azerbaijan in 2000, but discrimination and even violence remain.",Europe,2017-09-29,/2017/09/29/world/europe/azerbaijan-gay.html?searchResultPosition=165,World News
1027,792,112,Egypt Expands Crackdown on Gay and Transgender People,At least 34 people have been arrested after concertgoers waved a rainbow flag at a rock performance in Cairo last month.,Middle East,2017-10-03,/2017/10/03/world/middleeast/egypt-gay-arrests.html?searchResultPosition=142,World News
1028,713,33,Female-Only Cambridge College to Allow Transgender Women,"Murray Edwards College, a part of Cambridge University in Britain, said the social and legal understanding of what it means to be a woman had changed.",Europe,2017-10-04,/2017/10/04/world/europe/uk-transgender-women-cambridge.html?searchResultPosition=44,World News
1029,716,36,Review: ‘The Death and Life of Marsha P. Johnson’ Explores a Mystery,"The documentary, by David France, looks at the death of the transgender activist. Police say it was suicide; friends suspect it was murder.",Movies,2017-10-05,/2017/10/05/movies/the-death-and-life-of-marsha-p-johnson-review.html?searchResultPosition=49,Arts
1030,712,32,"In Shift, Justice Dept. Says Law Doesn’t Bar Transgender Discrimination",The move was the Trump administration’s latest contraction of the Obama-era approach to civil rights enforcement.,Politics,2017-10-05,/2017/10/05/us/politics/transgender-civil-rights-act-justice-department-sessions.html?searchResultPosition=43,Politics
1031,858,178,"Quotation of the Day: Shaping Gender Perceptions in Brazil, an Episode at a Time","Quotation of the Day for Sunday, October 8, 2017.",Today’s Paper,2017-10-07,/2017/10/07/todayspaper/quotation-of-the-day-shaping-gender-perceptions-in-brazil-an-episode-at-a-time.html?searchResultPosition=244,Misc
1032,714,34,Transgender Brazilians Embrace Hit Soap Opera: ‘Now You Can See Us’,"“Edge of Desire,” watched nightly by some 50 million Brazilians, is shaping perceptions about gender identity in a nation where transgender people face stigmatization and violence.",Americas,2017-10-07,/2017/10/07/world/americas/brazil-transgender-pabllo-vittar.html?searchResultPosition=46,US New
1033,715,35,Modern Love Podcast: Ann Dowd Reads ‘My Husband Is Now My Wife’,"On this week’s podcast, the star of “The Handmaid’s Tale” reads Diane Daniel’s story of her spouse’s transition.",Style,2017-10-11,/2017/10/11/style/modern-love-podcast-ann-dowd.html?searchResultPosition=48,Arts
1034,709,29,"Jackie Shane, a Transgender Soul Pioneer, Re-emerges After Four Decades",Her electric performances in the 1960s made her an elusive cult heroine. A Numero Group boxed set unravels her true story for the first time.,Music,2017-10-15,/2017/10/15/arts/music/jackie-shane-transgender-soul-pioneer.html?searchResultPosition=40,Arts
1035,707,27,"Aiding Transgender Case, Sessions Defies His Image on Civil Rights","In an unusual move, the attorney general has sent a federal hate crimes lawyer to Iowa to help prosecute a man charged with murdering a transgender high school student.",Politics,2017-10-15,/2017/10/15/us/politics/jeff-sessions-transgender.html?searchResultPosition=38,Politics
1036,871,191,"For Older Gays Who Might Re-enter the Closet, a Ball Invites Them Out","As Australia votes on same-sex marriage, a party honors gay, transgender and intersex people who helped pave the way for rights and recognition.",Australia,2017-10-16,/2017/10/16/world/australia/lgbt-ball-melbourne.html?searchResultPosition=267,World News
1037,704,24,Deal on North Carolina Bathroom Law Would Expand Transgender Protections,Gov. Roy Cooper and transgender rights advocates said they had drawn up a settlement on the state’s longstanding bathroom dispute.,U.S.,2017-10-18,/2017/10/18/us/north-carolina-bathroom-bill.html?searchResultPosition=35,US New
1038,711,31,"Ireland’s Transition, and Mine",The country has come a long way on L.G.B.T.Q. rights since I was there in the 1990s.,Opinion,2017-10-18,/2017/10/18/opinion/ireland-gay-transgender-rights.html?searchResultPosition=42,Life
1039,703,23,Playboy to Feature Its First Transgender Playmate,"Although Ines Rau will be the first transgender Playmate, Playboy has featured transgender women before. Cooper Hefner said the move fit with the brand’s philosophy.",Arts,2017-10-19,/2017/10/19/arts/playboy-playmate-transgender.html?searchResultPosition=34,Arts
1040,710,30,Californians Will Soon Have Nonbinary as a Gender Option on Birth Certificates,"Under a new law, the first in the nation, residents will no longer be limited to identifying themselves as either male or female on state documents.",U.S.,2017-10-19,/2017/10/19/us/birth-certificate-nonbinary-gender-california.html?searchResultPosition=41,US New
1041,798,118,Jeff Sessions and a Transgender Case,A reader says the administration is “quite willing to promote unequal treatment of L.G.B.T.Q. people.”,Opinion,2017-10-23,/2017/10/23/opinion/jeff-sessions-transgender.html?searchResultPosition=148,Life
1042,701,21,Transgender Inmate Accuses Suffolk County of Unfair Medical Treatment,"Jessica Sunderland, an Iraq war veteran, had a prescription for hormones from a veterans’ hospital, but county doctors disagreed about their safety.",New York,2017-10-24,/2017/10/24/nyregion/transgender-inmate-suffolk-county-lawsuit.html?searchResultPosition=32,US New
1043,708,28,"When a Student Says, ‘I’m Not a Boy or a Girl’",Some kids are pushing their schools to change how they talk about gender.,Family,2017-10-24,/2017/10/24/well/family/transgender-gender-nonbinary-students.html?searchResultPosition=39,Life
1044,706,26,"An Iowa Teenager Was Killed in an Alley, but Was It a Hate Crime?","A murder trial in the death of a 16-year-old, described by his mother as gender fluid, has become part of the national debate over gender identity.",U.S.,2017-10-26,/2017/10/26/us/transgender-iowa-murder-trial-kedarie-johnson.html?searchResultPosition=37,US New
1045,699,19,New Ryan Murphy Show for FX Casts Several Transgender Regulars,"“Pose,” set in 1980s New York, has what the network called the largest cast of transgender series regulars in television history.",Television,2017-10-26,/2017/10/26/arts/television/pose-ryan-murphy-fx-transgender-casting.html?searchResultPosition=30,Arts
1046,705,25,An Artist and Hostess Who Calls Herself an Alt-Kardashian,The transgender club fixture is a host of the downtown Glam party and leads a ragtag crew of “Kardasians.”,Style,2017-10-27,/2017/10/27/style/dese-escobar-art-glam-party.html?searchResultPosition=36,Arts
1047,696,16,Judge Blocks Trump’s Ban on Transgender Troops in Military,The strongly worded ruling noted that the Trump administration’s justification for the ban was suspect and likely unconstitutional.,U.S.,2017-10-30,/2017/10/30/us/military-transgender-ban.html?searchResultPosition=24,US New
1048,693,13,Twitter Has a Transgender Problem,"The social media service makes it easy to abuse others, and hard to fight back. That hits one group of users particularly hard.",Opinion,2017-11-02,/2017/11/02/opinion/twitter-transgender-harassment-problem.html?searchResultPosition=21,Life
1049,702,22,Guilty Verdict in the Death of a Gender-Fluid Iowa Teenager,The killing of Kedarie Johnson drew national attention when Attorney General Jeff Sessions sent a federal hate crimes lawyer to aid in the prosecution.,U.S.,2017-11-03,/2017/11/03/us/kedarie-johnson-verdict-iowa.html?searchResultPosition=33,US New
